,clock,defense,defense_score,distance,home,offense,offense_score,period,surrender_index,yard_line
7125,"{'minutes': 11, 'seconds': 57}",West Virginia,0,10,Baylor,Baylor,0,1,0.4,40
7126,"{'minutes': 9, 'seconds': 48}",Baylor,0,12,Baylor,West Virginia,0,1,0.4,70
7127,"{'minutes': 8, 'seconds': 1}",West Virginia,0,15,Baylor,Baylor,0,1,0.4,23
7128,"{'seconds': 26, 'minutes': 0}",Maryland,0,7,Maryland,Michigan,14,1,0.4,88
7129,"{'minutes': 15, 'seconds': 0}",Virginia,0,15,North Carolina,North Carolina,0,1,0.4,30
7130,"{'minutes': 7, 'seconds': 17}",North Carolina,10,10,North Carolina,Virginia,10,2,0.4,75
7131,"{'minutes': 9, 'seconds': 36}",Notre Dame,0,15,Notre Dame,Virginia Tech,0,1,0.4,96
7132,"{'minutes': 6, 'seconds': 18}",Arizona,3,7,Arizona,Oregon State,7,1,0.4,72
7133,"{'minutes': 15, 'seconds': 0}",Colorado,0,8,UCLA,UCLA,17,2,0.4,35
7134,"{'minutes': 9, 'seconds': 16}",Marshall,0,30,Rice,Rice,0,1,0.4,28
7135,"{'seconds': 15, 'minutes': 0}",Boise State,7,8,San José State,San José State,14,1,0.4,17
7136,"{'minutes': 12, 'seconds': 50}",Navy,0,10,Connecticut,Connecticut,0,1,0.4,31
7137,"{'minutes': 12, 'seconds': 26}",Cincinnati,0,12,East Carolina,East Carolina,0,1,0.4,30
7138,"{'minutes': 13, 'seconds': 50}",Memphis,0,10,Memphis,SMU,0,1,0.4,80
7139,"{'minutes': 4, 'seconds': 8}",Texas State,0,13,Louisiana,Louisiana,0,1,0.4,27
7140,"{'minutes': 10, 'seconds': 42}",Louisiana,0,10,Louisiana,Texas State,0,2,0.4,62
7141,"{'minutes': 11, 'seconds': 2}",Auburn,0,16,Auburn,Ole Miss,0,2,0.4,70
